n.pc,conv,recip,beta0,beta1,alpha0,alpha1,alpha0.pc,alpha1.pc,se.beta0,se.beta1,se.alpha0,se.alpha1,se.alpha0.pc,se.alpha1.pc
200,0,0.004136748,8.971282,0.5055698,-0.9784765,-1.00087,-0.05708072,-0.9876056,0.04936915,0.01146293,0.07845007,0.02826778,0.08168254,0.0677361
400,0,0.006841278,8.981018,0.5071056,-0.9946132,-0.9960695,-0.06059904,-0.9686793,0.0367975,0.01111178,0.05878914,0.02363624,0.06089671,0.04970836
800,0,0.01343137,9.006305,0.5047919,-1.031814,-0.9857037,0.01865658,-0.9854402,0.02606125,0.01063087,0.04241456,0.02018724,0.04153066,0.03334411
50,0,0.001165402,9.196684,0.4914255,-1.321284,-0.9261827,-0.3793906,-1.044063,0.08852344,0.01170403,0.1228541,0.03080533,0.1664523,0.1219624
100,0,0.002579807,9.010285,0.4925404,-1.053771,-0.991479,-0.06979083,-1.010887,0.06024549,0.01164053,0.09228526,0.03001925,0.1140139,0.0988777
200,0,0.004242857,9.075663,0.4910064,-1.149751,-0.9664,-0.03101852,-1.051873,0.04873474,0.01146029,0.07270394,0.02432535,0.0828273,0.06128174
400,0,0.007630663,8.99099,0.4967349,-1.027124,-0.9984532,-0.02341828,-1.063384,0.03591579,0.01121435,0.05707895,0.02292505,0.05925198,0.04830077
800,0,0.01352245,8.943524,0.4888559,-0.9482533,-1.021671,0.01811438,-1.004371,0.02613287,0.01069742,0.04397053,0.02134185,0.04155874,0.03347086
50,0,0.001674136,8.933688,0.4943411,-0.8842541,-1.048606,-0.03963648,-0.9638912,0.077419,0.01154742,0.1273778,0.04526422,0.1376854,0.1142123
100,0,0.002481618,8.881076,0.4970772,-0.7994808,-1.077008,0.1200466,-0.726816,0.05943105,0.0114808,0.1022154,0.03985953,0.1127047,0.09798978
200,0,0.004059173,8.937577,0.4966254,-0.892377,-1.04567,-0.003085699,-1.052615,0.04910438,0.01131068,0.08137574,0.0315867,0.08045893,0.06499312
400,0,0.007415904,8.928416,0.4946838,-0.876133,-1.05119,0.1174041,-0.9435336,0.03530533,0.0109847,0.05982115,0.02618049,0.05777505,0.04716896
800,0,0.01291342,8.989907,0.5001887,-0.9781544,-1.018352,0.01270454,-1.012174,0.02624032,0.01056337,0.04381019,0.02131013,0.04123645,0.03365253
