"","X","Y"
"1468",458.556,6962.226
"1469",458.536,6961.124
"1472",458.241,6902.308
"1478",456.714,6953.019
"1479",456.665,6932.962
"1480",456.648,6953.813
"1483",455.816,6974.868
"1484",455.709,6902.958
"1485",455.326,6959.566
"1486",454.76,6961.374
"1487",454.589,6941.074
"1488",454.36,6927.434
"1489",454.279,6940.73
"1490",454.09,6935.894
"1493",452.568,6936.154
"1494",452.226,6939.177
"1505",451.045,6970.187
"1506",450.376,6970.267
"1512",445.297,6974.37
"1513",443.571,6967.609
